University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
;0,14600;-0,03100;-0,02900;0;-2825
;0,14600;-0,01100;-0,02800;0;-2836
;0,14700;-0,05400;-0,02600;0;-2847
;0,14700;0,01800;-0,02500;0;-2858
;0,14800;-0,04100;-0,02400;0;-2868
;0,14800;0,02000;-0,02300;0;-2880
;0,14900;-0,02600;-0,02100;0;-2889
;0,14900;-0,01300;-0,02000;0;-2898
;0,15000;-0,02500;-0,01900;0;-2906
;0,15000;-0,01000;-0,01800;0;-2913
;0,15100;-0,01300;-0,01700;0;-2918
;0,15100;0,02900;-0,01600;0;-2923
;0,15200;-0,01300;-0,01500;0;-2925
;0,15200;-0,03600;-0,01500;0;-2927
;0,15300;-0,04800;-0,01400;0;-2927
;0,15300;-0,00600;-0,01300;0;-2927
;0,15400;-0,03600;-0,01300;0;-2927
;0,15400;-0,01900;-0,01300;0;-2924
;0,15500;-0,03100;-0,01300;0;-2920
;0,15500;0,01200;-0,01300;0;-2916
;0,15600;0,00500;-0,01300;0;-2911
;0,15600;0,02800;-0,01300;0;-2905
;0,15700;-0,03400;-0,01300;0;-2900
;0,15700;0,08700;-0,01300;0;-2894
;0,15800;-0,02200;-0,01300;0;-2889
;0,15800;0,03700;-0,01300;0;-2884
;0,15900;-0,02900;-0,01200;0;-2879
;0,15900;0,05100;-0,01100;0;-2874
;0,16000;0,02300;-0,01000;0;-2869
;0,16000;0,02200;-0,00800;0;-2866
;0,16100;0,01300;-0,00700;0;-2863
;0,16100;0,02400;-0,00500;0;-2860
;0,16200;-0,01700;-0,00300;0;-2859
;0,16200;0,00800;-0,00100;0;-2858
;0,16300;-0,02500;0,00100;0;-2858
;0,16300;0,00800;0,00300;0;-2857
;0,16400;-0,00400;0,00400;0;-2857
;0,16400;0,05300;0,00600;0;-2857
;0,16500;-0,01100;0,00700;0;-2859
;0,16500;0,05900;0,00800;0;-2862
;0,16600;-0,02100;0,00900;0;-2864
;0,16600;0,00600;0,01000;0;-2867
;0,16700;-0,01300;0,01000;0;-2870
;0,16700;0,06300;0,01100;0;-2874
;0,16800;-0,00500;0,01100;0;-2876
;0,16800;0,03600;0,01200;0;-2879
;0,16900;0,00100;0,01200;0;-2881
;0,16900;0,04400;0,01300;0;-2883
;0,17000;0,05600;0,01300;0;-2886
;0,17000;0,06200;0,01400;0;-2889
;0,17100;0,00100;0,01400;0;-2891
;0,17100;0,02400;0,01500;0;-2892
;0,17200;-0,00900;0,01600;0;-2892
;0,17200;0,07000;0,01700;0;-2892
;0,17300;-0,02100;0,01800;0;-2893
;0,17300;0,05500;0,01900;0;-2893
;0,17400;-0,01300;0,02000;0;-2893
;0,17400;0,07900;0,02100;0;-2892
;0,17500;0,00100;0,02200;0;-2891
;0,17500;0,02200;0,02200;0;-2890
;0,17600;-0,02100;0,02300;0;-2888
;0,17600;0,11700;0,02400;0;-2886
;0,17700;0,03100;0,02400;0;-2885
;0,17700;0,01800;0,02500;0;-2883
;0,17800;-0,02100;0,02500;0;-2882
;0,17800;0,02100;0,02600;0;-2880
;0,17900;0,02100;0,02600;0;-2879
;0,17900;0,05100;0,02700;0;-2879
;0,18000;-0,05400;0,02700;0;-2877
;0,18000;0,02800;0,02700;0;-2877
;0,18100;-0,03100;0,02600;0;-2877
;0,18100;0,06900;0,02600;0;-2877
;0,18200;0,02300;0,02500;0;-2877
;0,18200;0,00500;0,02400;0;-2877
;0,18300;-0,00200;0,02400;0;-2877
;0,18300;0,05100;0,02300;0;-2877
;0,18400;-0,02100;0,02200;0;-2878
;0,18400;0,03000;0,02100;0;-2878
;0,18500;-0,03000;0,02000;0;-2879
;0,18500;-0,02000;0,01900;0;-2881
;0,18600;0,00100;0,01800;0;-2882
;0,18600;0,01900;0,01700;0;-2883
;0,18700;-0,02900;0,01500;0;-2884
;0,18700;0,04300;0,01400;0;-2884
;0,18800;-0,02400;0,01300;0;-2884
;0,18800;0,02800;0,01100;0;-2885
;0,18900;-0,01000;0,01000;0;-2886
;0,18900;0,02700;0,00900;0;-2886
;0,19000;-0,04200;0,00800;0;-2886
;0,19000;-0,00600;0,00700;0;-2886
;0,19100;0,00400;0,00600;0;-2886
;0,19100;0,00800;0,00500;0;-2886
;0,19200;0,01100;0,00400;0;-2886
;0,19200;0,03600;0,00300;0;-2885
;0,19300;-0,04900;0,00200;0;-2885
;0,19300;0,02400;0,00100;0;-2885
;0,19400;-0,02800;0,00100;0;-2885
;0,19400;0,07400;0,00100;0;-2883
;0,19500;-0,02600;0,00000;0;-2883
;0,19500;0,00700;0,00000;0;-2882
;0,19600;-0,01700;0,00000;0;-2882
;0,19600;0,01000;0,00000;0;-2882
;0,19700;-0,05200;0,00000;0;-2881
