University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
;0,72700;0,09891;0,03402;0,00000;0,00000
;0,72750;0,05919;0,03428;0,00000;0,00000
;0,72800;0,08033;0,03483;0,00000;0,00000
;0,72850;0,08417;0,03569;0,00000;0,00000
;0,72900;0,16234;0,03692;0,00000;0,00000
;0,72950;0,09571;0,03864;0,00000;0,00000
;0,73000;0,11236;0,04092;0,00000;0,00000
;0,73050;0,07777;0,04373;0,00000;0,00000
;0,73100;0,07585;0,04699;0,00000;0,00000
;0,73150;0,01434;0,05052;0,00000;0,00000
;0,73200;0,04189;0,05411;0,00000;0,00000
;0,73250;-0,00232;0,05751;0,00000;0,00000
;0,73300;0,05150;0,06053;0,00000;0,00000
;0,73350;0,02907;0,06302;0,00000;0,00000
;0,73400;0,03420;0,06494;0,00000;0,00000
;0,73450;-0,00360;0,06625;0,00000;0,00000
;0,73500;0,04445;0,06690;0,00000;0,00000
;0,73550;-0,03884;0,06687;0,00000;0,00000
;0,73600;0,08738;0,06617;0,00000;0,00000
;0,73650;0,05662;0,06488;0,00000;0,00000
;0,73700;0,06239;0,06320;0,00000;0,00000
;0,73750;0,00281;0,06127;0,00000;0,00000
;0,73800;0,05983;0,05916;0,00000;0,00000
;0,73850;0,03292;0,05693;0,00000;0,00000
;0,73900;0,11108;0,05468;0,00000;0,00000
;0,73950;0,06752;0,05255;0,00000;0,00000
;0,74000;0,04765;0,05068;0,00000;0,00000
;0,74050;0,04894;0,04911;0,00000;0,00000
;0,74100;0,00857;0,04783;0,00000;0,00000
;0,74150;0,04701;0,04674;0,00000;0,00000
;0,74200;-0,00232;0,04579;0,00000;0,00000
;0,74250;0,02843;0,04489;0,00000;0,00000
;0,74300;0,04381;0,04398;0,00000;0,00000
;0,74350;-0,00680;0,04304;0,00000;0,00000
;0,74400;-0,00104;0,04204;0,00000;0,00000
;0,74450;-0,00168;0,04090;0,00000;0,00000
;0,74500;-0,00360;0,03955;0,00000;0,00000
;0,74550;-0,02090;0,03797;0,00000;0,00000
;0,74600;-0,02282;0,03611;0,00000;0,00000
;0,74650;-0,00360;0,03394;0,00000;0,00000
;0,74700;0,07713;0,03152;0,00000;0,00000
;0,74750;-0,01834;0,02898;0,00000;0,00000
;0,74800;-0,01577;0,02642;0,00000;0,00000
;0,74850;0,03228;0,02387;0,00000;0,00000
;0,74900;0,01690;0,02137;0,00000;0,00000
;0,74950;0,02267;0,01900;0,00000;0,00000
;0,75000;0,01370;0,01683;0,00000;0,00000
;0,75050;0,08161;0,01492;0,00000;0,00000
;0,75100;-0,02026;0,01336;0,00000;0,00000
;0,75150;0,04765;0,01216;0,00000;0,00000
;0,75200;-0,02795;0,01129;0,00000;0,00000
;0,75250;0,00409;0,01069;0,00000;0,00000
;0,75300;-0,03564;0,01024;0,00000;0,00000
;0,75350;0,00985;0,00984;0,00000;0,00000
;0,75400;-0,04140;0,00941;0,00000;0,00000
;0,75450;0,02267;0,00890;0,00000;0,00000
;0,75500;0,00473;0,00831;0,00000;0,00000
;0,75550;0,02651;0,00768;0,00000;0,00000
;0,75600;-0,02795;0,00706;0,00000;0,00000
;0,75650;0,03420;0,00647;0,00000;0,00000
;0,75700;0,01242;0,00591;0,00000;0,00000
;0,75750;0,03804;0,00546;0,00000;0,00000
;0,75800;-0,02474;0,00514;0,00000;0,00000
;0,75850;0,04894;0,00496;0,00000;0,00000
;0,75900;0,04509;0,00494;0,00000;0,00000
;0,75950;0,06111;0,00515;0,00000;0,00000
;0,76000;0,05727;0,00568;0,00000;0,00000
;0,76050;0,07008;0,00660;0,00000;0,00000
;0,76100;0,05086;0,00795;0,00000;0,00000
;0,76150;0,07905;0,00975;0,00000;0,00000
;0,76200;-0,01770;0,01194;0,00000;0,00000
;0,76250;0,10660;0,01444;0,00000;0,00000
;0,76300;0,08482;0,01719;0,00000;0,00000
;0,76350;0,07649;0,02022;0,00000;0,00000
;0,76400;0,02651;0,02352;0,00000;0,00000
;0,76450;0,06623;0,02700;0,00000;0,00000
;0,76500;0,01434;0,03052;0,00000;0,00000
;0,76550;0,04894;0,03398;0,00000;0,00000
;0,76600;0,03612;0,03724;0,00000;0,00000
;0,76650;0,05150;0,04025;0,00000;0,00000
;0,76700;0,02331;0,04294;0,00000;0,00000
;0,76750;0,08802;0,04531;0,00000;0,00000
;0,76800;-0,00296;0,04735;0,00000;0,00000
;0,76850;0,07905;0,04905;0,00000;0,00000
;0,76900;0,04830;0,05043;0,00000;0,00000
;0,76950;0,10147;0,05155;0,00000;0,00000
;0,77000;0,04637;0,05251;0,00000;0,00000
;0,77050;0,08417;0,05336;0,00000;0,00000
;0,77100;0,06688;0,05417;0,00000;0,00000
;0,77150;0,06816;0,05496;0,00000;0,00000
;0,77200;-0,05550;0,05571;0,00000;0,00000
;0,77250;0,08289;0,05628;0,00000;0,00000
;0,77300;0,05278;0,05661;0,00000;0,00000
;0,77350;0,09955;0,05674;0,00000;0,00000
;0,77400;0,01049;0,05676;0,00000;0,00000
;0,77450;0,10660;0,05672;0,00000;0,00000
;0,77500;0,04509;0,05664;0,00000;0,00000
;0,77550;0,05214;0,05658;0,00000;0,00000
;0,77600;0,02395;0,05651;0,00000;0,00000
;0,77650;0,06047;0,05639;0,00000;0,00000
;0,77700;0,02139;0,05620;0,00000;0,00000
;0,77750;0,03292;0,05588;0,00000;0,00000
;0,77800;-0,01641;0,05540;0,00000;0,00000
;0,77850;0,05983;0,05468;0,00000;0,00000
;0,77900;0,06239;0,05373;0,00000;0,00000
;0,77950;0,08289;0,05265;0,00000;0,00000
;0,78000;0,02587;0,05157;0,00000;0,00000
;0,78050;0,04765;0,05053;0,00000;0,00000
;0,78100;0,03356;0,04954;0,00000;0,00000
;0,78150;0,06495;0,04861;0,00000;0,00000
;0,78200;0,00024;0,04772;0,00000;0,00000
;0,78250;0,03484;0,04687;0,00000;0,00000
;0,78300;0,01690;0,04599;0,00000;0,00000
;0,78350;0,03676;0,04506;0,00000;0,00000
;0,78400;0,00601;0,04406;0,00000;0,00000
;0,78450;0,01178;0,04297;0,00000;0,00000
;0,78500;0,02459;0,04177;0,00000;0,00000
;0,78550;0,00217;0,04043;0,00000;0,00000
;0,78600;-0,01641;0,03896;0,00000;0,00000
;0,78650;-0,01641;0,03729;0,00000;0,00000
;0,78700;0,00152;0,03540;0,00000;0,00000
;0,78750;-0,00809;0,03326;0,00000;0,00000
;0,78800;-0,05293;0,03089;0,00000;0,00000
;0,78850;0,02587;0,02827;0,00000;0,00000
;0,78900;0,03420;0,02547;0,00000;0,00000
;0,78950;-0,02603;0,02260;0,00000;0,00000
;0,79000;0,02203;0,01975;0,00000;0,00000
;0,79050;0,00857;0,01698;0,00000;0,00000
;0,79100;0,08289;0,01439;0,00000;0,00000
;0,79150;-0,07344;0,01208;0,00000;0,00000
;0,79200;0,02203;0,01005;0,00000;0,00000
;0,79250;0,00729;0,00825;0,00000;0,00000
;0,79300;0,02010;0,00667;0,00000;0,00000
;0,79350;0,00729;0,00535;0,00000;0,00000
;0,79400;0,08417;0,00432;0,00000;0,00000
;0,79450;0,01114;0,00366;0,00000;0,00000
;0,79500;0,04317;0,00343;0,00000;0,00000
;0,79550;0,00793;0,00361;0,00000;0,00000
;0,79600;0,01754;0,00415;0,00000;0,00000
;0,79650;0,00793;0,00497;0,00000;0,00000
;0,79700;0,06495;0,00600;0,00000;0,00000
;0,79750;-0,01001;0,00723;0,00000;0,00000
;0,79800;-0,00168;0,00859;0,00000;0,00000
;0,79850;-0,01129;0,00997;0,00000;0,00000
;0,79900;0,04701;0,01128;0,00000;0,00000
;0,79950;-0,01770;0,01248;0,00000;0,00000
;0,80000;0,05278;0,01357;0,00000;0,00000
;0,80050;-0,00232;0,01455;0,00000;0,00000
;0,80100;0,03804;0,01543;0,00000;0,00000
;0,80150;0,07328;0,01624;0,00000;0,00000
;0,80200;0,04701;0,01709;0,00000;0,00000
;0,80250;0,01306;0,01803;0,00000;0,00000
;0,80300;0,03997;0,01906;0,00000;0,00000
;0,80350;0,01049;0,02016;0,00000;0,00000
;0,80400;0,09891;0,02129;0,00000;0,00000
;0,80450;0,02907;0,02249;0,00000;0,00000
;0,80500;0,10852;0,02384;0,00000;0,00000
;0,80550;0,04317;0,02539;0,00000;0,00000
;0,80600;0,09699;0,02718;0,00000;0,00000
;0,80650;0,04509;0,02922;0,00000;0,00000
;0,80700;0,10980;0,03150;0,00000;0,00000
;0,80750;0,01434;0,03401;0,00000;0,00000
;0,80800;0,06880;0,03666;0,00000;0,00000
;0,80850;0,03228;0,03936;0,00000;0,00000
;0,80900;0,06239;0,04200;0,00000;0,00000
;0,80950;0,01114;0,04451;0,00000;0,00000
;0,81000;0,04573;0,04679;0,00000;0,00000
;0,81050;0,01946;0,04877;0,00000;0,00000
;0,81100;0,07200;0,05039;0,00000;0,00000
;0,81150;0,05086;0,05168;0,00000;0,00000
;0,81200;0,03869;0,05268;0,00000;0,00000
;0,81250;0,03100;0,05341;0,00000;0,00000
;0,81300;0,05470;0,05385;0,00000;0,00000
;0,81350;0,03420;0,05404;0,00000;0,00000
;0,81400;0,06367;0,05399;0,00000;0,00000
;0,81450;0,04125;0,05377;0,00000;0,00000
;0,81500;0,08482;0,05342;0,00000;0,00000
;0,81550;0,03100;0,05301;0,00000;0,00000
;0,81600;0,05662;0,05259;0,00000;0,00000
;0,81650;-0,00360;0,05214;0,00000;0,00000
;0,81700;0,07200;0,05162;0,00000;0,00000
;0,81750;-0,00360;0,05102;0,00000;0,00000
;0,81800;0,00921;0,05029;0,00000;0,00000
;0,81850;-0,01129;0,04936;0,00000;0,00000
;0,81900;0,02972;0,04818;0,00000;0,00000
;0,81950;-0,00232;0,04671;0,00000;0,00000
;0,82000;0,02459;0,04499;0,00000;0,00000
;0,82050;-0,00296;0,04303;0,00000;0,00000
;0,82100;-0,01577;0,04086;0,00000;0,00000
;0,82150;0,06175;0,03851;0,00000;0,00000
;0,82200;-0,00488;0,03603;0,00000;0,00000
;0,82250;0,00473;0,03352;0,00000;0,00000
;0,82300;0,02075;0,03100;0,00000;0,00000
;0,82350;-0,00616;0,02851;0,00000;0,00000
;0,82400;-0,00744;0,02606;0,00000;0,00000
;0,82450;-0,01385;0,02364;0,00000;0,00000
;0,82500;0,03804;0,02124;0,00000;0,00000
;0,82550;0,00152;0,01892;0,00000;0,00000
;0,82600;0,00345;0,01673;0,00000;0,00000
;0,82650;-0,00168;0,01469;0,00000;0,00000
;0,82700;0,06303;0,01282;0,00000;0,00000
;0,82750;0,02907;0,01120;0,00000;0,00000
;0,82800;-0,02795;0,00990;0,00000;0,00000
;0,82850;-0,01001;0,00886;0,00000;0,00000
;0,82900;-0,01129;0,00800;0,00000;0,00000
;0,82950;-0,01001;0,00723;0,00000;0,00000
;0,83000;-0,00488;0,00651;0,00000;0,00000
;0,83050;0,02139;0,00580;0,00000;0,00000
;0,83100;-0,05293;0,00512;0,00000;0,00000
;0,83150;0,06047;0,00444;0,00000;0,00000
;0,83200;-0,02026;0,00380;0,00000;0,00000
;0,83250;-0,01257;0,00321;0,00000;0,00000
;0,83300;-0,00937;0,00266;0,00000;0,00000
;0,83350;-0,01065;0,00211;0,00000;0,00000
;0,83400;0,01434;0,00155;0,00000;0,00000
;0,83450;0,04445;0,00102;0,00000;0,00000
;0,83500;0,04317;0,00061;0,00000;0,00000
;0,83550;0,04958;0,00045;0,00000;0,00000
;0,83600;-0,01706;0,00060;0,00000;0,00000
;0,83650;0,04381;0,00105;0,00000;0,00000
;0,83700;0,02587;0,00175;0,00000;0,00000
;0,83750;0,01178;0,00270;0,00000;0,00000
;0,83800;-0,01898;0,00382;0,00000;0,00000
;0,83850;0,06752;0,00506;0,00000;0,00000
;0,83900;0,01306;0,00637;0,00000;0,00000
;0,83950;0,02331;0,00778;0,00000;0,00000
;0,84000;0,03292;0,00925;0,00000;0,00000
;0,84050;0,03804;0,01077;0,00000;0,00000
;0,84100;-0,01257;0,01232;0,00000;0,00000
;0,84150;0,08610;0,01388;0,00000;0,00000
;0,84200;-0,04140;0,01541;0,00000;0,00000
;0,84250;0,06559;0,01690;0,00000;0,00000
;0,84300;-0,00296;0,01830;0,00000;0,00000
;0,84350;0,06111;0,01960;0,00000;0,00000
;0,84400;0,03100;0,02083;0,00000;0,00000
;0,84450;0,08802;0,02203;0,00000;0,00000
;0,84500;0,08033;0,02331;0,00000;0,00000
;0,84550;0,10852;0,02477;0,00000;0,00000
;0,84600;0,01370;0,02650;0,00000;0,00000
;0,84650;0,06880;0,02849;0,00000;0,00000
;0,84700;0,03933;0,03066;0,00000;0,00000
;0,84750;0,05727;0,03293;0,00000;0,00000
;0,84800;-0,01706;0,03521;0,00000;0,00000
;0,84850;0,07328;0,03740;0,00000;0,00000
;0,84900;0,01114;0,03939;0,00000;0,00000
;0,84950;0,07264;0,04116;0,00000;0,00000
;0,85000;0,03869;0,04271;0,00000;0,00000
;0,85050;0,03804;0,04406;0,00000;0,00000
;0,85100;0,01049;0,04518;0,00000;0,00000
;0,85150;0,10468;0,04607;0,00000;0,00000
;0,85200;0,03869;0,04677;0,00000;0,00000
;0,85250;0,04701;0,04735;0,00000;0,00000
;0,85300;0,01434;0,04782;0,00000;0,00000
;0,85350;0,05022;0,04814;0,00000;0,00000
;0,85400;0,06431;0,04831;0,00000;0,00000
;0,85450;0,09443;0,04839;0,00000;0,00000
;0,85500;0,04765;0,04848;0,00000;0,00000
;0,85550;0,10275;0,04866;0,00000;0,00000
;0,85600;0,02459;0,04897;0,00000;0,00000
;0,85650;0,04317;0,04939;0,00000;0,00000
;0,85700;0,05086;0,04987;0,00000;0,00000
;0,85750;0,01946;0,05034;0,00000;0,00000
;0,85800;-0,01962;0,05071;0,00000;0,00000
;0,85850;0,04061;0,05086;0,00000;0,00000
;0,85900;0,00985;0,05072;0,00000;0,00000
;0,85950;-0,00232;0,05025;0,00000;0,00000
;0,86000;-0,00680;0,04942;0,00000;0,00000
;0,86050;-0,00232;0,04819;0,00000;0,00000
;0,86100;-0,01129;0,04653;0,00000;0,00000
;0,86150;0,08033;0,04449;0,00000;0,00000
;0,86200;-0,04012;0,04218;0,00000;0,00000
;0,86250;0,02203;0,03967;0,00000;0,00000
;0,86300;-0,04332;0,03698;0,00000;0,00000
;0,86350;-0,00680;0,03411;0,00000;0,00000
;0,86400;-0,01834;0,03103;0,00000;0,00000
;0,86450;0,03292;0,02780;0,00000;0,00000
;0,86500;-0,00232;0,02451;0,00000;0,00000
;0,86550;0,03997;0,02127;0,00000;0,00000
;0,86600;-0,01065;0,01819;0,00000;0,00000
;0,86650;0,01818;0,01533;0,00000;0,00000
;0,86700;0,00281;0,01272;0,00000;0,00000
;0,86750;-0,02859;0,01038;0,00000;0,00000
;0,86800;-0,00488;0,00825;0,00000;0,00000
;0,86850;0,01242;0,00632;0,00000;0,00000
;0,86900;0,05022;0,00460;0,00000;0,00000
;0,86950;-0,08753;0,00312;0,00000;0,00000
;0,87000;0,00024;0,00184;0,00000;0,00000
;0,87050;-0,04076;0,00064;0,00000;0,00000
;0,87100;-0,00296;-0,00055;0,00000;0,00000
;0,87150;0,01049;-0,00172;0,00000;0,00000
;0,87200;-0,01193;-0,00284;0,00000;0,00000
;0,87250;-0,01257;-0,00389;0,00000;0,00000
;0,87300;-0,00488;-0,00484;0,00000;0,00000
;0,87350;-0,01129;-0,00570;0,00000;0,00000
;0,87400;0,05727;-0,00645;0,00000;0,00000
;0,87450;0,03484;-0,00699;0,00000;0,00000
;0,87500;0,08161;-0,00719;0,00000;0,00000
;0,87550;0,03997;-0,00693;0,00000;0,00000
;0,87600;0,08033;-0,00611;0,00000;0,00000
;0,87650;0,00537;-0,00471;0,00000;0,00000
;0,87700;0,09763;-0,00277;0,00000;0,00000
;0,87750;0,01882;-0,00033;0,00000;0,00000
;0,87800;0,04637;0,00254;0,00000;0,00000
;0,87850;-0,02474;0,00572;0,00000;0,00000
;0,87900;0,01626;0,00901;0,00000;0,00000
;0,87950;-0,02923;0,01221;0,00000;0,00000
;0,88000;0,03356;0,01517;0,00000;0,00000
;0,88050;-0,04204;0,01778;0,00000;0,00000
;0,88100;-0,03756;0,01992;0,00000;0,00000
;0,88150;0,02267;0,02150;0,00000;0,00000
;0,88200;0,05214;0,02251;0,00000;0,00000
;0,88250;0,02010;0,02308;0,00000;0,00000
;0,88300;0,01434;0,02333;0,00000;0,00000
;0,88350;-0,04268;0,02331;0,00000;0,00000
;0,88400;0,03933;0,02300;0,00000;0,00000
;0,88450;0,00473;0,02242;0,00000;0,00000
;0,88500;0,05406;0,02166;0,00000;0,00000
;0,88550;0,04445;0,02082;0,00000;0,00000
;0,88600;0,07328;0,02005;0,00000;0,00000
;0,88650;0,01498;0,01948;0,00000;0,00000
;0,88700;0,08353;0,01916;0,00000;0,00000
;0,88750;0,02331;0,01915;0,00000;0,00000
;0,88800;0,07969;0,01947;0,00000;0,00000
;0,88850;0,03804;0,02013;0,00000;0,00000
;0,88900;0,05470;0,02113;0,00000;0,00000
;0,88950;-0,01706;0,02241;0,00000;0,00000
;0,89000;0,05791;0,02384;0,00000;0,00000
;0,89050;0,00665;0,02534;0,00000;0,00000
;0,89100;0,01049;0,02681;0,00000;0,00000
;0,89150;0,05150;0,02817;0,00000;0,00000
;0,89200;0,03869;0,02942;0,00000;0,00000
;0,89250;0,05470;0,03056;0,00000;0,00000
;0,89300;0,07200;0,03164;0,00000;0,00000
;0,89350;-0,00104;0,03271;0,00000;0,00000
;0,89400;0,02779;0,03374;0,00000;0,00000
;0,89450;-0,00232;0,03465;0,00000;0,00000
;0,89500;0,03612;0,03537;0,00000;0,00000
;0,89550;0,06816;0,03588;0,00000;0,00000
;0,89600;0,06495;0,03625;0,00000;0,00000
;0,89650;0,00281;0,03657;0,00000;0,00000
;0,89700;0,04830;0,03685;0,00000;0,00000
;0,89750;0,01626;0,03707;0,00000;0,00000
;0,89800;-0,01129;0,03718;0,00000;0,00000
;0,89850;0,01818;0,03712;0,00000;0,00000
;0,89900;0,02395;0,03685;0,00000;0,00000
;0,89950;0,03292;0,03636;0,00000;0,00000
;0,90000;0,03100;0,03571;0,00000;0,00000
;0,90050;-0,02026;0,03493;0,00000;0,00000
;0,90100;-0,03179;0,03398;0,00000;0,00000
;0,90150;-0,00552;0,03278;0,00000;0,00000
;0,90200;-0,01385;0,03128;0,00000;0,00000
;0,90250;0,02203;0,02948;0,00000;0,00000
;0,90300;-0,01129;0,02745;0,00000;0,00000
;0,90350;-0,02026;0,02524;0,00000;0,00000
;0,90400;-0,01257;0,02286;0,00000;0,00000
;0,90450;0,00024;0,02034;0,00000;0,00000
;0,90500;0,02459;0,01774;0,00000;0,00000
;0,90550;0,02267;0,01515;0,00000;0,00000
;0,90600;-0,01449;0,01269;0,00000;0,00000
;0,90650;0,00857;0,01041;0,00000;0,00000
;0,90700;0,03804;0,00832;0,00000;0,00000
;0,90750;0,05534;0,00651;0,00000;0,00000
;0,90800;0,03100;0,00509;0,00000;0,00000
;0,90850;0,02843;0,00413;0,00000;0,00000
;0,90900;0,01049;0,00364;0,00000;0,00000
;0,90950;0,01370;0,00356;0,00000;0,00000
;0,91000;0,05342;0,00383;0,00000;0,00000
;0,91050;0,07649;0,00447;0,00000;0,00000
;0,91100;0,02203;0,00550;0,00000;0,00000
;0,91150;0,16811;0,00697;0,00000;0,00000
;0,91200;0,15657;0,00903;0,00000;0,00000
;0,91250;0,22833;0,01190;0,00000;0,00000
;0,91300;0,24179;0,01586;0,00000;0,00000
;0,91350;0,24883;0,02116;0,00000;0,00000
;0,91400;0,25396;0,02797;0,00000;0,00000
;0,91450;0,29560;0,03636;0,00000;0,00000
;0,91500;0,30842;0,04636;0,00000;0,00000
;0,91550;0,41029;0,05801;0,00000;0,00000
;0,91600;0,39747;0,07138;0,00000;0,00000
;0,91650;0,40644;0,08653;0,00000;0,00000
;0,91700;0,43912;0,10344;0,00000;0,00000
;0,91750;0,57623;0,12206;0,00000;0,00000
;0,91800;0,58648;0,14245;0,00000;0,00000
;0,91850;0,64799;0,16473;0,00000;0,00000
;0,91900;0,67810;0,18900;0,00000;0,00000
;0,91950;0,79022;0,21534;0,00000;0,00000
;0,92000;0,79406;0,24384;0,00000;0,00000
;0,92050;0,90298;0,27458;0,00000;0,00000
;0,92100;0,93886;0,30763;0,00000;0,00000
;0,92150;1,16054;0,34311;0,00000;0,00000
;0,92200;1,15093;0,38127;0,00000;0,00000
;0,92250;1,27266;0,42236;0,00000;0,00000
;0,92300;1,37774;0,46660;0,00000;0,00000
;0,92350;1,42002;0,51418;0,00000;0,00000
;0,92400;1,44052;0,56516;0,00000;0,00000
;0,92450;1,51805;0,61945;0,00000;0,00000
;0,92500;1,57507;0,67684;0,00000;0,00000
;0,92550;1,70129;0,73706;0,00000;0,00000
;0,92600;1,63722;0,79987;0,00000;0,00000
;0,92650;1,67310;0,86486;0,00000;0,00000
;0,92700;1,71218;0,93148;0,00000;0,00000
;0,92750;1,73653;0,99911;0,00000;0,00000
;0,92800;1,73845;1,06713;0,00000;0,00000
;0,92850;1,76600;1,13490;0,00000;0,00000
;0,92900;1,74293;1,20179;0,00000;0,00000
;0,92950;1,82238;1,26716;0,00000;0,00000
;0,93000;1,76984;1,33048;0,00000;0,00000
;0,93050;1,87556;1,39129;0,00000;0,00000
;0,93100;1,83327;1,44923;0,00000;0,00000
;0,93150;2,02099;1,50411;0,00000;0,00000
;0,93200;2,01074;1,55594;0,00000;0,00000
;0,93250;2,10300;1,60493;0,00000;0,00000
;0,93300;2,09852;1,65136;0,00000;0,00000
;0,93350;2,18373;1,69552;0,00000;0,00000
;0,93400;2,22217;1,73775;0,00000;0,00000
;0,93450;2,29329;1,77838;0,00000;0,00000
;0,93500;2,37850;1,81781;0,00000;0,00000
;0,93550;2,55213;1,85653;0,00000;0,00000
;0,93600;2,55341;1,89515;0,00000;0,00000
;0,93650;2,60018;1,93426;0,00000;0,00000
;0,93700;2,76676;1,97436;0,00000;0,00000
;0,93750;2,86415;2,01592;0,00000;0,00000
;0,93800;2,87312;2,05947;0,00000;0,00000
;0,93850;2,86735;2,10534;0,00000;0,00000
;0,93900;2,78342;2,15356;0,00000;0,00000
;0,93950;2,82699;2,20379;0,00000;0,00000
;0,94000;2,79111;2,25546;0,00000;0,00000
;0,94050;2,75715;2,30791;0,00000;0,00000
;0,94100;2,74818;2,36034;0,00000;0,00000
;0,94150;2,77829;2,41198;0,00000;0,00000
;0,94200;2,76100;2,46209;0,00000;0,00000
;0,94250;2,75651;2,51006;0,00000;0,00000
;0,94300;2,80328;2,55538;0,00000;0,00000
;0,94350;2,78790;2,59766;0,00000;0,00000
;0,94400;2,80777;2,63664;0,00000;0,00000
;0,94450;2,85261;2,67220;0,00000;0,00000
;0,94500;3,01727;2,70440;0,00000;0,00000
;0,94550;3,20436;2,73367;0,00000;0,00000
;0,94600;3,41707;2,76087;0,00000;0,00000
;0,94650;3,59069;2,78729;0,00000;0,00000
;0,94700;3,63618;2,81439;0,00000;0,00000
;0,94750;3,68808;2,84348;0,00000;0,00000
;0,94800;3,81494;2,87562;0,00000;0,00000
;0,94850;3,74895;2,91153;0,00000;0,00000
;0,94900;3,80789;2,95162;0,00000;0,00000
;0,94950;3,76753;2,99589;0,00000;0,00000
;0,95000;3,75471;3,04403;0,00000;0,00000
;0,95050;3,76817;3,09543;0,00000;0,00000
;0,95100;3,70730;3,14934;0,00000;0,00000
;0,95150;3,63554;3,20480;0,00000;0,00000
;0,95200;3,70858;3,26075;0,00000;0,00000
;0,95250;3,63875;3,31616;0,00000;0,00000
;0,95300;3,69449;3,37010;0,00000;0,00000
;0,95350;3,65092;3,42178;0,00000;0,00000
;0,95400;3,68295;3,47052;0,00000;0,00000
;0,95450;3,80917;3,51587;0,00000;0,00000
;0,95500;4,13464;3,55778;0,00000;0,00000
;0,95550;4,43064;3,59692;0,00000;0,00000
;0,95600;4,69141;3,63472;0,00000;0,00000
;0,95650;4,75163;3,67298;0,00000;0,00000
;0,95700;4,88874;3,71347;0,00000;0,00000
;0,95750;4,95922;3,75762;0,00000;0,00000
;0,95800;5,13413;3,80657;0,00000;0,00000
;0,95850;5,07967;3,86109;0,00000;0,00000
;0,95900;5,08608;3,92156;0,00000;0,00000
;0,95950;4,97203;3,98775;0,00000;0,00000
;0,96000;4,88618;4,05886;0,00000;0,00000
;0,96050;4,73305;4,13356;0,00000;0,00000
;0,96100;4,64976;4,21008;0,00000;0,00000
;0,96150;4,58249;4,28647;0,00000;0,00000
;0,96200;4,58377;4,36078;0,00000;0,00000
;0,96250;4,45691;4,43128;0,00000;0,00000
;0,96300;4,55366;4,49646;0,00000;0,00000
;0,96350;4,56647;4,55518;0,00000;0,00000
;0,96400;4,78879;4,60688;0,00000;0,00000
;0,96450;4,97331;4,65166;0,00000;0,00000
;0,96500;5,22575;4,69032;0,00000;0,00000
;0,96550;5,47370;4,72436;0,00000;0,00000
;0,96600;5,64860;4,75567;0,00000;0,00000
;0,96650;5,75112;4,78634;0,00000;0,00000
;0,96700;5,93692;4,81836;0,00000;0,00000
;0,96750;5,93371;4,85342;0,00000;0,00000
;0,96800;5,91385;4,89280;0,00000;0,00000
;0,96850;5,69473;4,93707;0,00000;0,00000
;0,96900;5,60824;4,98599;0,00000;0,00000
;0,96950;5,47882;5,03855;0,00000;0,00000
;0,97000;5,45576;5,09335;0,00000;0,00000
;0,97050;5,58966;5,14892;0,00000;0,00000
;0,97100;5,83120;5,20413;0,00000;0,00000
;0,97150;6,03302;5,25856;0,00000;0,00000
;0,97200;6,06762;5,31236;0,00000;0,00000
;0,97250;5,99522;5,36585;0,00000;0,00000
;0,97300;6,22267;5,41925;0,00000;0,00000
;0,97350;6,32966;5,47278;0,00000;0,00000
;0,97400;6,51226;5,52688;0,00000;0,00000
;0,97450;6,57761;5,58216;0,00000;0,00000
;0,97500;6,66346;5,63923;0,00000;0,00000
;0,97550;6,68525;5,69853;0,00000;0,00000
;0,97600;6,66154;5,76025;0,00000;0,00000
;0,97650;6,60260;5,82424;0,00000;0,00000
;0,97700;6,69550;5,89002;0,00000;0,00000
;0,97750;6,68333;5,95699;0,00000;0,00000
;0,97800;6,72049;6,02452;0,00000;0,00000
;0,97850;6,71280;6,09196;0,00000;0,00000
;0,97900;6,77815;6,15870;0,00000;0,00000
;0,97950;6,85503;6,22419;0,00000;0,00000
;0,98000;6,92359;6,28809;0,00000;0,00000
;0,98050;7,05108;6,35025;0,00000;0,00000
;0,98100;7,06582;6,41071;0,00000;0,00000
;0,98150;7,13822;6,46961;0,00000;0,00000
;0,98200;7,29967;6,52714;0,00000;0,00000
;0,98250;7,30480;6,58361;0,00000;0,00000
;0,98300;7,44575;6,63939;0,00000;0,00000
;0,98350;7,50277;6,69488;0,00000;0,00000
;0,98400;7,34901;6,75036;0,00000;0,00000
;0,98450;7,41820;6,80585;0,00000;0,00000
;0,98500;7,59888;6,86115;0,00000;0,00000
;0,98550;7,81607;6,91627;0,00000;0,00000
;0,98600;7,87566;6,97161;0,00000;0,00000
;0,98650;7,84298;7,02768;0,00000;0,00000
;0,98700;7,67832;7,08466;0,00000;0,00000
;0,98750;7,70716;7,14228;0,00000;0,00000
;0,98800;7,70395;7,19992;0,00000;0,00000
;0,98850;7,68153;7,25689;0,00000;0,00000
;0,98900;7,53032;7,31245;0,00000;0,00000
;0,98950;7,54186;7,36571;0,00000;0,00000
;0,99000;7,45152;7,41572;0,00000;0,00000
;0,99050;7,46818;7,46159;0,00000;0,00000
;0,99100;7,55595;7,50264;0,00000;0,00000
;0,99150;7,71741;7,53860;0,00000;0,00000
;0,99200;7,78916;7,56969;0,00000;0,00000
;0,99250;7,72061;7,59649;0,00000;0,00000
